""	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"B1"	"B10"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"C1"	"C2"	"C3"	"C4"	"C5"	"D1"	"D2"	"D3"	"D4"	"D5"	"E1"	"E2"	"E3"	"E4"	"E5"	"F1"	"F2"	"F3"	"F4"	"F5"	"G1"	"G2"	"G3"	"G4"	"G5"
"A0A060HBM5"	0	0	0	0	0	0	7741700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10526000	7489800	9663500	0	0	9410500	9318800	10394000	10357000	6125900	0	7021700	8738900	0	9311500	0	8335200	7595700	0	7786900	8255900	11526000	10278000
"A0A060HBN0"	26122000	16867000	20641000	16841000	19791000	16572000	16641000	20573000	18278000	99110000	23650000	42695000	41440000	58053000	28978000	25604000	22289000	22687000	25795000	19963000	19121000	16346000	23859000	17519000	25882000	16152000	18668000	16151000	17994000	27281000	26185000	30968000	37107000	23102000	26020000	27879000	21723000	27517000	20112000	23473000	15517000	22017000	17553000	23281000
"A0A060HBN5"	79269000	70995000	83298000	70212000	78410000	78172000	75980000	71974000	66755000	143270000	101470000	1.29e+08	120600000	137220000	145760000	82925000	84573000	83989000	104200000	97139000	75959000	79975000	64700000	91876000	78307000	87047000	74426000	87304000	78789000	89426000	114910000	98752000	99667000	105530000	80147000	87336000	82526000	68631000	72405000	86018000	70080000	74793000	81223000	77761000
"A0A060HBP6"	292080000	281210000	228820000	254100000	330030000	308370000	278670000	342760000	277520000	123720000	259920000	204830000	192150000	185500000	143970000	283330000	262980000	224070000	174080000	269220000	237770000	340020000	307360000	278060000	291370000	273640000	262200000	276210000	283340000	282560000	238360000	279590000	237730000	218670000	346390000	259860000	291990000	237830000	226570000	363150000	302830000	279930000	328620000	306120000
"A0A060HBQ2"	650110000	544190000	564250000	528660000	554650000	483980000	569490000	690310000	625030000	364500000	687070000	486780000	383340000	396950000	436080000	497710000	670890000	530530000	577020000	649960000	551470000	642930000	616890000	701970000	571110000	682920000	563850000	643460000	611730000	578620000	664370000	547680000	665680000	650480000	664330000	713180000	784180000	671950000	823180000	821690000	649700000	698010000	744440000	724070000
"A0A060HBQ7"	48308000	78587000	131050000	94457000	96564000	97822000	99078000	73308000	85812000	22846000	60806000	54814000	0	29875000	37733000	55046000	93510000	70753000	55056000	87079000	77696000	84651000	97011000	95062000	82558000	102340000	87585000	95630000	92190000	62663000	47806000	60731000	55452000	67625000	91143000	78479000	96047000	84894000	97867000	74802000	88016000	96869000	93968000	85217000
"A0A060HBR3"	111650000	108520000	78022000	93355000	101790000	97138000	98147000	119560000	117530000	138670000	142630000	120010000	162660000	178090000	212720000	136010000	135860000	115250000	154200000	117550000	108470000	137890000	114560000	147070000	101410000	119090000	108730000	144540000	131500000	129360000	137400000	108180000	120070000	117750000	144190000	116500000	129360000	109860000	109950000	125410000	105270000	101040000	142830000	117820000
"A0A060HBR9"	16089000	12716000	15517000	14783000	12217000	14832000	16422000	11632000	15729000	0	17464000	10993000	20604000	12086000	20118000	15709000	16325000	16199000	14446000	16409000	15457000	16178000	15371000	16871000	13454000	17029000	15209000	15898000	16760000	16153000	16649000	18383000	17248000	17211000	18355000	19779000	15580000	16837000	18700000	16455000	16079000	14718000	17919000	14367000
"A0A060HBS4"	44864000	36918000	66772000	46344000	46595000	43076000	39814000	52198000	32863000	82304000	37586000	83624000	66990000	69880000	49375000	51120000	33384000	51473000	41678000	35811000	38299000	30179000	0	0	47330000	32151000	37113000	29638000	33512000	35124000	44426000	44733000	61119000	38127000	0	35647000	34830000	38166000	32072000	37409000	26635000	38179000	29256000	34124000
"A0A060HBT0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7359600	0	5011100	6331800	5366000	0	0	0	0	0	0	0	0	0
"A0A060HBU1"	10452000	9609300	8571800	10053000	9704800	8303700	9399400	6610700	9214900	0	0	0	0	0	0	5429200	0	0	0	9739900	7710600	8463900	8329000	9261900	8284000	9018500	8458500	0	9954700	9382700	8036000	9615900	11233000	8868600	7959100	10383000	8209100	7693600	0	10111000	10227000	11167000	9233100	10894000
"A0A060HBU6"	8630900	0	0	0	12841000	0	0	0	0	0	0	0	0	0	0	7673200	0	0	0	0	7753300	0	0	0	0	0	0	0	0	0	0	0	0	0	10793000	0	0	0	0	0	0	9611300	0	0
"A0A060HBV1"	261060000	217790000	335240000	246070000	264370000	259350000	216790000	215360000	203900000	328910000	207830000	383930000	241770000	274760000	241510000	238850000	248690000	279700000	224750000	266090000	237180000	191310000	190870000	212080000	256500000	202960000	224740000	181700000	171320000	184090000	232360000	240400000	248600000	202330000	193850000	203630000	231650000	251030000	250710000	182750000	179350000	1.98e+08	171540000	181480000
"A0A060HBV5"	24519000	19247000	0	26783000	20441000	16668000	18073000	19142000	24005000	14633000	28853000	26469000	22682000	0	28670000	17644000	41190000	21655000	18531000	28760000	20242000	26270000	23848000	25455000	18328000	27675000	24923000	26619000	29432000	47892000	39187000	30826000	40020000	48650000	42178000	40048000	38133000	32196000	38753000	31054000	25191000	27720000	31421000	26806000
"A0A060HBV9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2165800
"A0A060HBX4"	0	0	0	0	0	0	0	0	0	0	0	0	19626000	29898000	14177000	20556000	0	0	18272000	0	0	0	0	0	0	0	0	0	0	0	0	0	14601000	0	0	0	0	0	0	0	0	0	0	0
"A0A060HC05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3210900
"A0A060HC10"	0	4307800	0	0	0	3378200	3215700	0	3776700	0	4864300	0	0	0	0	0	0	4152300	5103100	3264400	0	3931000	3003600	0	4043000	0	4077900	0	5048300	0	4123900	2933200	0	5504300	4312500	5368700	4821700	2603100	0	3373400	4171300	3895400	4370200	0
"A0A060HC15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014900	0	0	0	0	0	0
"A0A060HC21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	869110	0	0
"A0A060HC34"	15380000	13680000	21182000	15717000	13979000	13516000	15686000	12420000	17280000	0	12834000	23824000	13346000	15106000	15941000	15475000	19704000	20543000	14187000	16339000	14747000	12567000	16613000	17416000	14826000	16409000	14207000	13577000	11764000	16563000	13737000	15445000	16622000	15305000	15491000	16486000	16629000	18258000	19826000	13289000	15459000	14386000	14650000	13822000
"A0A060HC45"	46135000	40021000	69559000	49948000	51866000	56826000	44637000	44918000	49300000	44425000	44250000	60558000	44302000	49573000	60018000	37358000	55649000	50262000	40435000	50542000	51201000	44761000	46112000	51229000	56924000	63524000	46026000	62101000	49869000	38251000	55026000	45923000	42844000	40604000	31717000	36071000	50318000	45647000	56132000	59376000	61521000	49117000	48724000	48806000
"A0A060HC53"	0	0	0	0	0	0	4775200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3280500	0
"A0A060HC98"	123310000	98096000	70831000	67038000	87093000	60294000	64008000	46391000	71160000	47301000	64499000	62618000	48511000	43269000	58497000	64154000	67782000	5.9e+07	57141000	92623000	87164000	89666000	81313000	67232000	82228000	73771000	70405000	80204000	68690000	73619000	50059000	49732000	47987000	49169000	68286000	54378000	44455000	49179000	45123000	70738000	52075000	54813000	52162000	59963000
"A0A060HCG6"	772650000	635140000	540890000	816350000	760610000	485420000	587940000	630590000	647810000	296310000	624460000	513200000	396550000	292950000	489780000	479590000	586030000	513020000	592710000	909130000	691840000	850640000	705920000	911970000	718030000	802500000	771490000	1072400000	864020000	395210000	424100000	328500000	417470000	509740000	558440000	429460000	568270000	390400000	366940000	694430000	541920000	530640000	559580000	594350000
"A0A060HCK2"	46622000	36404000	42131000	35393000	40945000	36726000	39999000	47888000	36454000	55104000	51652000	85852000	52638000	46754000	56760000	58425000	56829000	55812000	50924000	54789000	51179000	48341000	37693000	43337000	50120000	43611000	33099000	32285000	35507000	63644000	54526000	47622000	51383000	47647000	63149000	58895000	49565000	57135000	54596000	54098000	34403000	33256000	36716000	42665000
"A0A060HCK4"	211250000	203370000	176630000	202060000	177070000	166130000	153350000	181860000	191200000	0	82076000	0	0	0	0	33040000	118910000	62726000	60663000	156850000	172120000	190290000	162990000	197780000	158330000	203660000	201120000	200960000	168280000	35653000	0	0	0	41930000	67712000	89983000	111900000	97846000	119080000	226100000	211260000	150960000	165670000	222790000
"A0A060HCL0"	78745000	71002000	74571000	79642000	65028000	76716000	64887000	69403000	77059000	220820000	152980000	162960000	159610000	199600000	188550000	140620000	174390000	141290000	168050000	103630000	88580000	88639000	74983000	106690000	74408000	95837000	75660000	76720000	81776000	176440000	162560000	142790000	148960000	193720000	154890000	147360000	178150000	161210000	188360000	91866000	93655000	73864000	87988000	92090000
"A0A060HCP5"	122140000	138310000	111440000	112970000	92884000	102540000	96993000	97667000	93168000	418920000	88073000	137770000	224570000	319610000	184930000	102510000	64719000	88234000	110620000	105930000	112390000	89672000	85685000	88886000	116720000	79706000	84763000	113560000	110980000	202710000	244370000	209390000	225270000	196780000	112750000	108250000	81910000	103530000	100470000	105280000	108200000	83835000	84636000	100220000
"A0A060HCQ3"	0	0	0	0	0	0	3177100	0	2935600	0	0	0	0	0	0	0	0	0	0	3799200	0	0	0	2957500	3314200	0	0	2889000	2931200	0	0	0	0	0	0	0	0	0	0	0	0	2683900	0	0
"A0A060HCR5"	259670000	328050000	396640000	226400000	267120000	317030000	299930000	295230000	255850000	703480000	331700000	541410000	552740000	597340000	530660000	370300000	431870000	313230000	417040000	304220000	323920000	277570000	218040000	301910000	297720000	304670000	258680000	236800000	250860000	371470000	409670000	311390000	328590000	365110000	300870000	330710000	287630000	298580000	383680000	289170000	268670000	226890000	260110000	276300000
"A0A060HCS0"	537780000	399960000	1077800000	763530000	741410000	532030000	704220000	598850000	472570000	255770000	337980000	357720000	174780000	188230000	200320000	226520000	445240000	359640000	234950000	468810000	429560000	327930000	426220000	472150000	596780000	491960000	599360000	435330000	424090000	244330000	147140000	205220000	202230000	272770000	238430000	349580000	586500000	327640000	418350000	447380000	352400000	443460000	400850000	343450000
"A0A060HCS4"	140170000	118440000	98309000	88803000	100030000	109060000	113770000	111700000	118260000	146410000	148100000	91238000	108720000	1.15e+08	91663000	121470000	182880000	125590000	177740000	135350000	130690000	137080000	129300000	151600000	114630000	149280000	133910000	106390000	122500000	124100000	92493000	46173000	94206000	150550000	124870000	190090000	137790000	127050000	163380000	138880000	122670000	97799000	138910000	138230000
"A0A060HCS9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2158600	2467500	0	2353800	0	0	0	0	0	2132000	0	0
"A0A060HCT3"	227400000	230390000	329710000	246160000	267530000	237050000	239150000	274060000	204860000	186020000	238780000	297060000	191950000	309790000	210160000	2.32e+08	208640000	272810000	191590000	212100000	194650000	200670000	248210000	251120000	233480000	235230000	212930000	228360000	213800000	215830000	215120000	275600000	255680000	132580000	253580000	178280000	239330000	212230000	304700000	271260000	201450000	215120000	224390000	225640000
"A0A060HCU3"	92580000	52890000	37645000	46325000	60082000	40297000	46300000	39324000	46173000	153800000	51594000	79724000	93668000	57039000	65773000	58945000	53897000	60883000	80529000	61304000	42217000	30179000	54648000	53690000	68178000	28793000	38952000	39405000	47229000	79144000	96226000	93993000	153400000	101140000	54893000	59421000	46541000	49120000	59243000	57124000	40470000	44939000	46532000	55501000
"A0A060HCV6"	174460000	213660000	317280000	199180000	210160000	237170000	208710000	219120000	173030000	17014000	196810000	50433000	23969000	21596000	26223000	162450000	184550000	202850000	182340000	199270000	214510000	203610000	185950000	181540000	199750000	200460000	217490000	225380000	171420000	151510000	121110000	85244000	109460000	145330000	154470000	163880000	199340000	182160000	251420000	187320000	192680000	172160000	178550000	178370000
"A0A060HCX3"	16333000	17834000	20675000	16688000	14537000	15717000	12359000	15256000	15870000	15036000	13704000	27507000	18409000	17412000	16264000	22475000	11213000	16463000	15457000	13277000	20453000	16054000	16215000	14825000	14632000	13969000	14999000	10884000	14588000	19112000	22067000	22518000	18337000	16023000	15981000	19608000	14430000	20741000	24168000	16920000	14187000	17009000	14591000	14329000
"A0A060HCX7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8941000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HCY7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529130	0	0	0	0	0	0	0	0	0
"A0A060HCZ7"	49777000	33557000	13741000	44978000	43566000	29625000	34821000	35687000	39723000	65494000	43934000	30880000	69769000	76576000	53673000	52761000	33234000	55607000	39202000	42803000	37701000	44826000	51078000	40804000	37733000	39382000	42397000	42827000	47947000	75242000	50999000	40158000	75060000	72746000	62414000	63396000	52554000	43606000	35120000	48713000	43782000	47252000	43295000	42548000
"A0A060HD01"	12949000	14155000	9786000	11160000	13127000	10971000	12322000	17533000	15452000	13493000	13979000	21695000	12948000	14400000	11988000	14889000	10668000	16133000	14662000	12352000	10421000	14419000	14851000	13232000	13841000	9810900	12530000	14467000	14415000	22193000	17439000	18055000	12271000	13304000	18875000	15720000	13556000	14504000	10957000	16266000	10632000	14346000	11999000	15248000
"A0A060HD10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4182600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HD21"	50057000	34309000	53212000	44982000	49529000	36821000	35737000	34753000	42157000	34124000	28727000	42983000	25907000	29740000	22313000	35558000	31321000	34324000	21499000	47140000	39635000	44171000	42491000	39594000	42478000	41569000	52956000	47563000	31455000	51161000	29630000	31056000	17675000	23404000	46780000	36805000	47504000	36118000	49500000	42535000	35824000	37697000	29809000	35991000
"A0A060HD33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5074600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HD38"	35963000	39692000	65107000	38236000	29497000	45606000	37458000	35819000	35048000	51213000	37659000	66615000	57965000	48212000	59189000	51725000	43777000	53002000	46568000	37260000	39508000	31168000	34305000	40260000	43047000	34916000	34409000	32940000	31999000	44939000	45477000	66079000	51921000	58903000	39242000	39609000	48659000	44924000	44543000	37004000	42992000	42482000	31518000	39071000
"A0A060HD49"	24246000	24216000	32776000	27433000	23940000	22156000	23787000	23503000	22471000	5769700	23558000	20031000	19478000	12233000	23147000	18475000	15810000	20871000	22207000	18285000	21629000	20952000	21613000	21923000	22304000	23685000	23897000	25820000	23485000	18367000	21442000	18878000	19864000	18532000	20712000	18230000	20989000	18474000	0	20509000	20853000	21223000	24027000	20259000
"A0A060HD60"	38767000	40474000	52848000	33114000	33439000	37894000	46087000	39677000	42231000	17928000	37160000	41834000	39684000	35634000	42923000	37901000	46429000	41942000	41387000	37652000	43081000	36815000	40907000	37168000	36797000	46942000	37312000	30877000	37499000	34601000	32032000	35674000	38087000	36498000	33868000	40307000	36227000	43852000	50128000	41740000	47564000	41576000	42519000	44083000
"A0A060HD71"	17228000	18902000	17165000	16473000	18337000	24487000	17453000	16187000	15971000	15671000	16083000	17214000	17902000	18053000	21623000	20064000	12494000	21515000	18023000	13778000	16697000	13439000	19371000	14465000	15298000	0	14573000	17163000	13600000	18931000	20626000	24361000	19382000	23707000	17305000	15842000	13683000	15832000	15629000	14552000	18271000	15735000	10049000	12356000
"A0A060HD78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3908900	0	0	0	0	0	0	0	0	0	0	0
"A0A060HD85"	328140000	332570000	422860000	366270000	354770000	337110000	375370000	394880000	386280000	160980000	268140000	262770000	196470000	158790000	188680000	260940000	224860000	294980000	249100000	296320000	337110000	323370000	362080000	335350000	359170000	348060000	368160000	329670000	401930000	270540000	253730000	232580000	252840000	245840000	332600000	398510000	357700000	354650000	351220000	336590000	350420000	4.05e+08	405790000	361290000
"A0A060HD91"	676380000	584260000	408740000	608610000	777180000	635580000	629190000	720270000	612250000	297210000	673620000	324560000	399500000	465040000	488910000	470380000	550520000	513620000	563880000	653910000	547520000	769510000	609760000	735670000	599980000	646390000	680890000	831470000	774360000	526350000	529140000	473560000	547580000	583060000	661240000	665980000	763920000	542670000	336880000	675090000	653480000	588250000	710370000	619560000
"A0A060HD96"	722790000	712200000	507810000	773890000	824150000	687060000	725990000	861740000	731240000	328330000	766240000	402860000	478520000	493330000	518730000	558180000	651370000	537380000	618070000	687420000	597360000	914900000	678940000	724720000	702170000	697570000	730940000	867200000	902650000	636500000	576940000	540360000	588760000	644950000	786320000	690850000	766190000	653880000	564960000	684490000	748700000	785060000	820260000	722270000
"A0A060HDA2"	399330000	611330000	358500000	322260000	688080000	376960000	341710000	373940000	303360000	190530000	249300000	700440000	392890000	0	447900000	342830000	356690000	285340000	3.2e+08	234460000	404030000	205370000	453810000	221100000	222140000	0	233180000	134200000	307870000	348970000	448840000	696220000	423520000	390540000	303440000	325600000	376440000	379120000	203460000	230710000	307420000	447770000	325390000	348660000
"A0A060HDA8"	7229700	0	0	6131700	0	5875000	6804300	0	7815900	0	0	0	0	0	7223000	0	0	6214500	6321400	8064100	6401400	8707700	6521400	0	5659200	8652300	8059900	10134000	6949300	0	0	0	0	0	5923100	0	6349000	6094900	0	0	0	7087800	0	0
"A0A060HDB2"	12146000	0	14537000	16580000	19183000	14116000	18293000	16326000	22187000	0	0	0	0	0	0	0	0	0	0	24694000	14761000	17871000	17879000	23528000	22993000	22325000	26918000	18098000	20443000	5580300	0	0	0	0	9894500	15973000	18803000	14542000	0	23849000	19181000	26743000	19755000	21803000
"A0A060HDC1"	1319100000	1090400000	1034500000	1247200000	1189300000	1102300000	1208800000	1.23e+09	1357400000	225020000	1213900000	544670000	205970000	195010000	392290000	727760000	1155500000	921020000	9.16e+08	1110100000	1099100000	1311900000	1296900000	1.259e+09	1169900000	1392700000	1244300000	1318900000	1412600000	941720000	757340000	722680000	977550000	1104100000	954460000	1182500000	1330300000	1160700000	1158800000	1334800000	1253400000	1298500000	1507600000	1419500000
"A0A060HDD1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4119000	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HDE2"	0	0	0	0	0	0	0	0	0	0	1524900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HDE7"	4157600	4355700	0	0	0	0	0	0	0	0	0	0	0	0	0	3684100	0	0	0	3826400	0	0	3768400	0	0	0	0	0	3718100	3925800	4650500	0	3744900	3660900	3803900	4352200	0	3776600	5052000	3951600	3633700	0	4150800	0
"A0A060HDG7"	37261000	37865000	75462000	49712000	41676000	36521000	50108000	44516000	44320000	61197000	41267000	96222000	43223000	52076000	23767000	43985000	40936000	58761000	37287000	35997000	41339000	31599000	48295000	43191000	54357000	29936000	45121000	35541000	43142000	50303000	42371000	46123000	46158000	39981000	39208000	32849000	44191000	43479000	35065000	38735000	33293000	38312000	42893000	35473000
"A0A060HDH4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5865100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4968700	0	0	0	0	0	0	0	0	0	0
"A0A060HDI1"	13583000	13137000	15731000	12602000	12296000	13569000	13194000	0	15494000	16203000	12868000	24619000	11129000	0	16133000	11536000	13343000	11534000	16181000	15277000	15488000	11818000	15660000	19864000	18533000	9918100	8376600	12823000	13233000	10498000	14368000	21177000	18351000	15204000	16261000	11083000	15689000	17172000	16315000	17787000	14699000	18532000	11048000	9973300
"A0A060HDK4"	0	0	0	0	0	0	0	0	2194600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2644200	0	0	0	0	0	5369900	0	0	0	0	0	0	0	0	3677800	0
"A0A060HDM7"	10464000	11929000	17571000	11037000	10091000	11642000	13353000	8255900	11988000	0	8344200	20273000	0	0	0	14989000	22651000	15405000	11706000	13311000	13366000	11928000	10984000	11911000	7615700	14625000	13147000	14489000	9951500	22465000	21985000	25531000	28653000	32363000	16585000	13877000	19497000	19710000	22093000	14724000	15772000	13142000	15078000	12904000
