""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"	"PC34"	"PC35"	"PC36"	"PC37"	"PC38"	"PC39"
"A0A060HBM5"	0.00785068673597424	0.0490353552973925	0.0377078703850803	0.0285766127527477	0.0010227681107853	0.00599830681086955	0.00738126695103085	0.022875154890906	-0.0189577930426975	0.0225496353884023	-0.00162227206597301	-0.0045791125493966	0.0506011088683241	-0.0304348861027907	-0.022613054676028	-0.0379589761256466	0.00647060027806355	-0.0277175571172665	0.031891555496352	-0.01751488295719	0.0155474413343614	-0.0459530278043077	0.0264038527858056	-0.0542435613226112	-0.0686109497475967	-0.00378602986031713	-0.02876170158573	-0.0319782529205632	0.0312190604952701	0.0772016447091071	0.0250267733866348	-0.000372487284453997	-0.0111268352927205	-0.0418805727117738	-0.00519305087897141	-0.00516394324302658	0.0459516740167659	0.000525658666680815	0.200879402235864
"A0A060HBN0"	0.0419015524040045	0.00393743643306119	0.00161385290768404	-0.0145156908720352	0.0058882096333178	0.00129076599183495	0.0301276036031766	-0.0425097597610953	-0.0241624997283437	-0.043298725598256	-0.00508167465516126	0.0106634276124842	-0.0153010681590656	0.0452343086647636	0.0206911012888801	0.0209951945169532	-0.00129103214633638	-0.0153576619358153	0.0132803528000012	-0.00160741440262482	0.0156148808232094	0.00552790698787309	-0.0158232668863326	-0.0193337993274083	-0.0525410008892234	-0.0560213900710372	-0.0257161759237711	0.00707766405706098	-0.0141294870584192	0.042086843197694	-0.0109177162193001	-0.00344483689572667	-0.0259352744638489	-0.0158474833163358	-0.0182628323160578	-0.0165808852492064	0.0068307444192646	-0.0178016608509824	-0.0723324019210755
"A0A060HBN5"	0.0350043386513317	-0.0141893106713263	0.00705840548312641	0.0449117041270913	-0.00218803569188179	0.0069044864773023	-0.0443408939856657	-0.0158188876922594	-0.0241481154049873	-0.0226131343660928	0.0270859558443494	0.0401832492235867	0.0333357084734584	0.0589255838811271	0.00381331376574165	-0.014892411564275	-0.0380678776830547	0.0400118802253872	-0.00921155342445439	-0.00693697911180578	-0.0113438246064019	0.00208252197118738	-0.00367742583794127	-0.0224304194706662	0.00719940104498488	0.0264447326753316	-0.024029851532478	0.00877107021170059	0.0384922339918405	-0.00806346848514169	-0.00534564308277408	0.00701652874740687	-0.0317446582139764	0.0186852546628908	0.00952977108521104	-0.0195231847748926	-0.0216680965587841	-0.00800711976834504	-0.0892330285460837
"A0A060HBP6"	-0.0255448208160917	0.013429714209085	0.0281903367984699	0.000440103312995754	-0.00380395221562901	0.0511413149790154	0.0251595826117881	-0.0740374015509945	-0.00508092380137168	0.0538673322558208	-0.0246768029989736	0.0299815372123384	-0.00379462467547778	-0.0142165012554375	-0.0155260589542371	0.0405610514116674	0.0074360123794149	0.0272226989813569	-0.0455814985936974	0.0351000141687067	0.0475069717405629	-0.00619871811446552	-0.00269862536369129	-0.00927393908701727	-0.0434726171960613	-0.0230272752976535	0.0560505739521655	-0.00330969882160485	-0.0118745788996598	-0.0223237198926949	-0.00759841114155229	0.00240633011635326	-0.00027233277325723	0.0391671018453965	-0.0274670862754587	0.016280196141142	0.0509726343796979	0.0116267235824581	-0.0689146816956007
"A0A060HBQ2"	0.00305449282322872	0.0635703077979508	-0.0172280472950849	0.00267945610939742	-0.0153785228479847	0.0144312236982985	-0.0452570610230609	-0.0396848569931583	-0.0417245389953616	-0.0199959830908755	-0.00438694843781437	-0.00360225448025513	-0.0049917241857252	0.0129958779772933	-0.0231522487184478	-0.0193870932248208	-0.0211460050749429	-0.0162144130085438	0.029182582679897	-0.0279046208637844	-0.0175635913135137	0.00397842939110676	-0.0309729984973297	-0.00222202994404525	0.0338339368003136	-0.026388108695117	0.0301706705281882	0.0543241154703378	-0.00444917617370373	-0.0166514454895823	0.0179671188825004	-0.0306358014986201	0.036790843635574	-0.00295734211243876	-0.0148499300783282	-0.00798913011725909	-0.00943050052962396	0.00134041871398395	0.0271528501309986
"A0A060HBQ7"	-0.0393569577382681	0.0262730914005564	-0.0100988411206895	-0.0163634580101954	0.0177119491483375	0.00336810707596306	-0.0312555198331362	0.0286318348899267	0.0112474561831918	0.0216393820741601	-0.0240833201344825	-0.0146429699685175	-0.0383757671498516	0.0165662813603378	-0.0326913426553841	-0.0223980163670151	0.0381584403852284	0.0399927090118755	-0.0238774089161689	-0.00275911169287394	-0.0141729190471912	0.0197861356288813	-0.0173904061296452	0.0246177837062556	-0.0342590333106145	-0.00369517977839599	0.0174374007083554	-0.0371883469036393	0.00392523333161072	0.00253960434656597	-0.00606888858632157	0.0035105815069123	0.0220951799780159	0.0233236061384624	0.0319371349987923	0.0175488989264529	-0.00256322272824022	-0.0303284134669987	0.0153873788032023
"A0A060HBR3"	0.0166832830124076	0.0123977823753214	-0.0342494862931341	0.0765034321427788	-0.0115814245928871	0.0297405065453762	0.023987701736618	-0.0300660516312842	-0.0120627834480676	0.0115635753932165	0.0213966351218622	-0.015815053404379	0.0194926443294568	-0.00175280579861728	-0.0355570156894811	-0.0210321086683124	0.0198878389675123	0.00459041567178216	-0.0451306181774495	0.00611632243240152	-0.020510548922448	0.0374992731847873	0.00591751419621102	-0.0287221417208534	0.00712554785750175	0.00130988502832892	0.0455297983472578	0.0257988165441858	0.024991134733957	0.0199547346042253	0.0268168437473931	-0.0185765840856408	0.016081397536757	-0.0125339101742655	-0.0188930861433841	-0.00805385367928042	-0.022832821233304	0.0576918693080909	0.0102938215185875
"A0A060HBR9"	0.0227582529905148	0.0429920729548728	-0.0253611900608313	0.0121038701562169	0.0129294217921674	-0.0277034897910115	-0.0182396174857951	0.0388932906932853	0.00343022604160599	0.00648430632507495	0.0335138778382542	0.0156926449597746	0.0127427990658591	0.0635963340885127	-0.028519967668785	0.00137498089912521	0.00343125925333008	-0.00877382223697824	-0.0308356430566832	0.00137699694174563	0.0417418319449626	0.0127136491408489	-0.0580368253476327	-0.0478043675966007	-0.0618875935226376	0.0632530941085429	0.0245526825854945	0.00190936690143488	0.0146900010495345	0.0241788605763623	-0.0176747202804969	-0.000597564887010191	-0.0128766420026643	0.0115714132364557	-0.0183724976973201	-0.000243623220206557	0.0174088513992368	0.0480516426197915	0.0808403122302629
"A0A060HBS4"	0.0129755921417256	-0.0346054696103621	-0.00202088794490127	-0.0440610296224976	-0.0100293660688566	0.0304586284613713	0.0233716297570971	0.00662409954504935	-0.00651513014835161	-0.0283708997079731	0.0325502344873697	0.00102763812630891	-0.00582091245920744	0.0180466800108805	0.0355803635457276	0.0309221756878248	-0.101469706733011	-0.0208424045377437	-0.0117313433384055	-0.0416911271023744	0.00602963138224238	0.0258829781318471	0.041595628791465	0.0409681178169525	-0.00286995893535722	-0.0503871653851227	0.0382623189584747	0.0471340017695743	0.0230549872282963	0.00457091058513953	-0.0170775898295205	-0.0407553208458088	-0.0743901962324306	0.0812629167814278	-0.0103109415203397	0.0312306731723396	0.0047826564278664	-0.0237405974767386	0.120080476990309
"A0A060HBT0"	0.0314427379488115	-0.00269160271757996	0.0423864285676588	0.0124890096103432	0.0134169021707083	0.00436776534818197	-0.0357209962576314	0.00651044995085436	-0.00494449974211578	-0.046753163167885	0.0101402556349327	0.0383569314357882	-0.00128170193245534	0.00472500869969951	-0.00911364883147581	-0.0263623479196208	-0.0189411781397986	-0.0625949245425858	0.0106039353945058	0.0227514613098954	-0.0291870420551672	0.011781747528156	-0.0174093093060174	-0.0215449341543267	0.0644463237189386	0.0179223454649237	0.0331905374545484	-0.0408123897501646	0.0725992332749579	-0.0423063549675157	0.0270935706930639	-0.0649520421156178	0.0224479968556495	0.0123299146383053	0.0149526398752467	0.0226122056249497	-0.00925079074718831	-0.017425973221347	-0.112393138507867
