""	"Protein.Code"	"A"	"D"	"G"	"C"	"F"	"B"	"E"	"p_adj"	"Method"	"Locus_Tag"	"sig_check"	"Cluster"	"Max"	"Min"	"Gene_Name"	"Protein_Product"
"A0A060HK50"	"A0A060HK50"	-0.661593042286239	0.352282961607532	-0.270244302055456	0.463186978327325	1.63428713899258	-1.57372443103967	0.055804696453925	0.217566979331195	"ANOVA"	"NVIE_014340"	"no"	1	"F"	"B"	"NVIE_014340"	"exported protein of unknown function"
"A0A060HFS8"	"A0A060HFS8"	-1.12978946893075	0.533395372900577	-0.204874569018167	0.646849128909634	1.4010509867742	-1.41030012575468	0.163668675119182	0.0212739757116784	"ANOVA"	"NVIE_000520"	"yes"	1	"F"	"B"	"NVIE_000520"	"hypothetical protein"
"A0A060HSI9"	"A0A060HSI9"	-1.57264114548208	0.713662787446843	-0.0184008589582379	-0.262167183271179	1.58679193258324	-0.630127445932448	0.182881913613855	0.00384736698265678	"ANOVA"	"NVIE_021440"	"yes"	1	"F"	"A"	"NVIE_021440"	"protein of unknown function"
"A0A060HLR3"	"A0A060HLR3"	-0.584552193783436	1.36081253975947	-0.584552193783436	-0.584552193783436	1.56194842915771	-0.584552193783436	-0.584552193783436	0.060359908438065	"ANOVA"	"NVIE_003350"	"no"	1	"F"	"A"	"pth"	"peptidyl-tRNA hydrolase"
"A0A060HKL2"	"A0A060HKL2"	-0.584635895477257	1.61306964642567	-1.14192430847545	0.0273524650156257	1.09042647116053	-0.672644100054201	-0.331644278594924	0.0763588770836535	"ANOVA"	"NVIE_017500"	"no"	1	"D"	"G"	"tbp"	"TATA-box-binding protein"
"A0A060HFL5"	"A0A060HFL5"	-0.296075324088713	0.229123880389832	-0.453441385145441	0.0102055434717154	2.06905452856795	-0.498267990803841	-1.06059925239152	0.573370578102224	"ANOVA"	"NVIE_001950"	"no"	1	"F"	"E"	"NVIE_001950"	"putative sensor protein"
"A0A060HUG7"	"A0A060HUG7"	-0.672910222587584	0.528117014937695	-0.339662943143558	0.248311141828591	1.91741043764085	-0.813564231146006	-0.867701197529994	1.17159649799029e-05	"ANOVA"	"NVIE_028050"	"yes"	1	"F"	"E"	"NVIE_028050"	"ABC uptake transporter, substrate-binding protein"
"A0A060HP73"	"A0A060HP73"	-0.827928422547751	0.0525465197038094	0.21035664426942	-0.183389998766816	2.08048448720969	-0.570453071560347	-0.761616158307999	0.000204029730864098	"ANOVA"	"NVIE_007780"	"yes"	1	"F"	"A"	"NVIE_007780"	"putative PilT domain protein/Type II secretion system protein E"
"A0A060HLK5"	"A0A060HLK5"	-0.41065996503977	-0.600782867740733	-0.352538512574063	0.681455541511843	1.81419094187327	0.123417572495682	-1.25508271052623	0.114035780418312	"ANOVA"	"NVIE_002600"	"no"	1	"F"	"E"	"NVIE_002600"	"putative blue (type1) copper domain-containing protein"
"A0A060HHF4"	"A0A060HHF4"	-0.341152100817554	-0.178357087685375	0.12513103037264	0.567117554527576	1.75837425887015	-0.437331549495998	-1.49378210577144	0.0316253636939613	"ANOVA"	"NVIE_007740"	"yes"	1	"F"	"E"	"NVIE_007740"	"putative transcriptional regulator, AsnC family"
"A0A060HK91"	"A0A060HK91"	-0.0699240057072149	-0.659999003824777	-0.863827030944903	0.754888459102069	1.90581124446585	-0.388300915186443	-0.678648747904585	0.00174675964633359	"ANOVA"	"NVIE_026500"	"yes"	1	"F"	"G"	"NVIE_026500"	"hypothetical protein"
"A0A060HSZ7"	"A0A060HSZ7"	-0.0194477069739231	-0.229080902780366	0.0579310764972933	0.0430303389871162	1.90899523643502	-1.4915981837447	-0.269829858420442	0.00164412054767768	"ANOVA"	"NVIE_2401"	"yes"	1	"F"	"B"	"NVIE_2401"	"putative RNA-binding protein"
"A0A060HHP2"	"A0A060HHP2"	0.441033266393699	-0.134973187436043	-0.135319094938259	0.0242127244433406	1.77458035292472	-1.5677364744292	-0.401797586958262	0.00815726175108256	"ANOVA"	"NVIE_006350"	"yes"	1	"F"	"B"	"purS"	"putative phosphoribosylformylglycinamidine synthase PurS"
"A0A060HSH2"	"A0A060HSH2"	0.274369724933795	-0.347397073679873	-0.133824595094173	-0.18252295199696	2.07276137882346	-0.982366831566132	-0.701019651420119	0.623496155203298	"ANOVA"	"NVIE_018570"	"no"	1	"F"	"B"	"NVIE_018570"	"hypothetical protein"
"A0A060HN41"	"A0A060HN41"	0.0379495353711513	-0.377092959328519	-0.555274822666054	0.7539592717597	1.71804072181824	-1.41470221489989	-0.162879532054638	0.035225176032931	"ANOVA"	"NVIE_004470"	"yes"	1	"F"	"B"	"NVIE_004470"	"putative glyoxalase/bleomycin resistance protein/dioxygenase"
"A0A060HIY6"	"A0A060HIY6"	-0.433369635058887	-0.433964322178115	0.00742149092491678	0.602665658833319	1.86779663771785	-1.29261724547325	-0.317932584765828	0.244604197166756	"ANOVA"	"NVIE_012500"	"no"	1	"F"	"B"	"NVIE_012500"	"hypothetical protein"
"A0A060HJW0"	"A0A060HJW0"	-0.22878046496429	-0.554783762873714	0.118684336094628	0.488746519355015	1.84413870579105	-1.3794139249093	-0.28859140849338	0.0946196942066624	"ANOVA"	"NVIE_025540"	"no"	1	"F"	"B"	"ppa"	"inorganic pyrophosphatase"
"A0A060HGS9"	"A0A060HGS9"	-0.364923350686093	-0.856997212677381	-0.220994443371994	-0.634963187462684	2.16183779931819	-0.0826163252109232	-0.00134327990911049	0.00498913740398887	"ANOVA"	"NVIE_005810"	"yes"	1	"F"	"D"	"NVIE_005810"	"hypothetical protein"
"A0A060HQI6"	"A0A060HQI6"	-0.182453549863643	-1.05775095474884	0.0272747481900897	-0.384450878508999	2.11938378000793	-0.0721948177606563	-0.449808327315874	0.000200286529515034	"ANOVA"	"NVIE_011740"	"yes"	1	"F"	"D"	"NVIE_011740"	"hypothetical protein"
"A0A060HG21"	"A0A060HG21"	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	2.26778683805536	-0.377964473009227	-0.377964473009227	NA	"only in F"	"NVIE_003470"	NA	1	"F"	"G"	"NVIE_003470"	"protein of unknown function"
"A0A060HG53"	"A0A060HG53"	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	2.26778683805536	-0.377964473009227	-0.377964473009227	NA	"only in F"	"NVIE_003900"	NA	1	"F"	"A"	"hsp20-2"	"heat-shock protein Hsp20"
"A0A060HPY4"	"A0A060HPY4"	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	2.26778683805536	-0.377964473009227	-0.377964473009227	NA	"only in F"	"NVIE_029130"	NA	1	"F"	"G"	"NVIE_029130"	"putative Fe-S oxidoreductase"
"A0A060HQ90"	"A0A060HQ90"	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	2.26778683805536	-0.377964473009227	-0.377964473009227	NA	"only in F"	"NVIE_030080"	NA	1	"F"	"E"	"NVIE_030080"	"hypothetical protein"
"A0A060HIB7"	"A0A060HIB7"	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	2.26778683805536	-0.377964473009227	-0.377964473009227	NA	"only in F"	"NVIE_008270"	NA	1	"F"	"B"	"glmS1"	"glucosamine-fructose-6-phosphate aminotransferase"
"A0A060HDP0"	"A0A060HDP0"	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	2.26778683805536	-0.377964473009227	-0.377964473009227	NA	"only in F"	"NVIE_006200"	NA	1	"F"	"A"	"NVIE_006200"	"hypothetical protein"
"A0A060HGW7"	"A0A060HGW7"	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	2.26778683805536	-0.377964473009227	-0.377964473009227	NA	"only in F"	"NVIE_006100"	NA	1	"F"	"D"	"NVIE_006100"	"putative glycogen debranching enzyme"
