""	"Condition"	"ROS"	"Carbon"	"Stress"
"A1"	"A"	"catalase"	"2mM"	"Not Limited"
"A2"	"A"	"catalase"	"2mM"	"Not Limited"
"A3"	"A"	"catalase"	"2mM"	"Not Limited"
"A4"	"A"	"catalase"	"2mM"	"Not Limited"
"A5"	"A"	"catalase"	"2mM"	"Not Limited"
"A6"	"A"	"catalase"	"2mM"	"Not Limited"
"A7"	"A"	"catalase"	"2mM"	"Not Limited"
"A8"	"A"	"catalase"	"2mM"	"Not Limited"
"A9"	"A"	"catalase"	"2mM"	"Not Limited"
"B6"	"B"	"catalase"	"0.1mM"	"Limited"
"B7"	"B"	"catalase"	"0.1mM"	"Limited"
"B8"	"B"	"catalase"	"0.1mM"	"Limited"
"B9"	"B"	"catalase"	"0.1mM"	"Limited"
"B10"	"B"	"catalase"	"0.1mM"	"Limited"
"C1"	"C"	"catalase"	"0.25mM"	"Not Limited"
"C2"	"C"	"catalase"	"0.25mM"	"Not Limited"
"C3"	"C"	"catalase"	"0.25mM"	"Not Limited"
"C4"	"C"	"catalase"	"0.25mM"	"Not Limited"
"C5"	"C"	"catalase"	"0.25mM"	"Not Limited"
"D1"	"D"	"catalase"	"0.75mM"	"Not Limited"
"D2"	"D"	"catalase"	"0.75mM"	"Not Limited"
"D3"	"D"	"catalase"	"0.75mM"	"Not Limited"
"D4"	"D"	"catalase"	"0.75mM"	"Not Limited"
"D5"	"D"	"catalase"	"0.75mM"	"Not Limited"
"E1"	"E"	"pyruvate"	"0mM"	"Limited"
"E2"	"E"	"pyruvate"	"0mM"	"Limited"
"E3"	"E"	"pyruvate"	"0mM"	"Limited"
"E4"	"E"	"pyruvate"	"0mM"	"Limited"
"E5"	"E"	"pyruvate"	"0mM"	"Limited"
"F1"	"F"	"pyruvate"	"0.1mM"	"Limited"
"F2"	"F"	"pyruvate"	"0.1mM"	"Limited"
"F3"	"F"	"pyruvate"	"0.1mM"	"Limited"
"F4"	"F"	"pyruvate"	"0.1mM"	"Limited"
"F5"	"F"	"pyruvate"	"0.1mM"	"Limited"
"G1"	"G"	"pyruvate"	"0.25mM"	"Not Limited"
"G2"	"G"	"pyruvate"	"0.25mM"	"Not Limited"
"G3"	"G"	"pyruvate"	"0.25mM"	"Not Limited"
"G4"	"G"	"pyruvate"	"0.25mM"	"Not Limited"
"G5"	"G"	"pyruvate"	"0.25mM"	"Not Limited"
