Gene ID,Locus Tag,Gene Name,Protein Code,Protein Product
gene0,NVIE_000010,NVIE_000010,A0A060HLW8,hypothetical protein
gene1,NVIE_000020,NVIE_000020,A0A060HEX2,conserved protein of unknown function
gene2,NVIE_000030,NVIE_000030,A0A060HBM5,Putative nitroreductase family protein
gene3,NVIE_0004,NVIE_0004,A0A060HFN0,protein of unknown function
gene4,NVIE_000040,NVIE_000040,A0A060HKS3,protein of unknown function
gene5,NVIE_000050,hcs,A0A060HLX3,putative hydroxymethylglutaryl-CoA synthase
gene6,NVIE_000060,ilvA,A0A060HEX9,threonine ammonia-lyase
gene7,NVIE_000070,NVIE_000070,A0A060HBN0,conserved protein of unknown function
gene8,NVIE_000080,NVIE_000080,A0A060HFN5,putative protein of unknown function DUF2024
gene9,NVIE_000090,NVIE_000090,A0A060HKS9,putative hydroxyacylglutathione hydrolase
gene10,NVIE_000100,resA,A0A060HLX9,putative thioredoxin
gene11,NVIE_000110,NVIE_000110,A0A060HEY4,nitroreductase-like protein
gene12,NVIE_000120,NVIE_000120,A0A060HBN5,putative protein of unknown function DUF432
gene13,NVIE_000130,NVIE_000130,A0A060HFN9,putative CorA ion transporter
gene14,NVIE_000140,mscS,A0A060HKT3,putative mechanosensitive ion channel MscS
gene15,NVIE_000150,NVIE_000150,A0A060HLY4,major facilitator superfamily MFS-1
gene16,NVIE_000160,NVIE_000160,A0A060HEY9,hypothetical protein
gene17,NVIE_000170,NVIE_000170,A0A060HBP1,protein of unknown function
gene18,NVIE_000180,NVIE_000180,A0A060HFP0,protein of unknown function
gene19,NVIE_000190,NVIE_000190,A0A060HKT8,putative adenylate/guanylate cyclase
gene20,NVIE_000200,rps9p,A0A060HLY8,30S ribosomal protein S9p
gene21,NVIE_0022,rpl13p,A0A060HEZ5,50S ribosomal protein L13p
gene22,NVIE_000210,rpl18e,A0A060HBP6,50S ribosomal protein L18e
gene23,NVIE_000220,rpoD,A0A060HFP5,"DNA-directed RNA polymerase, subunit D"
gene24,NVIE_000230,NVIE_000230,A0A060HKU3,putative ribosome maturation protein SDO1
gene25,NVIE_000240,ecr,A0A060HLZ5,exosome complex RNA-binding protein
gene26,NVIE_000250,ecx1,A0A060HEZ9,putative exosome complex exonuclease
